Labelled SSOC,Labelled SSOC Title
91210,Hand launderer/presser (non-household)
36204,Music instructor (extracurriculum)
51321,Bartender/Mixologist
22632,Environmental officer (public health)
96111,"General waste collection, recycling and material recovery worker"
25241,Cyber risk specialist
34110,Legal associate professional (e.g. paralegal)
21321,Horticulturist/Arborist
52440,Telemarketer
31212,Automotive engineering technician
83222,Chauffeur
24112,Auditor (accounting)
53201,Healthcare assistant (e.g. therapy aide/assistant)
36202,Art and craft instructor (extracurriculum)
24311,Creative advertising professional
13461,Financial services manager
21212,Operations research analyst
13242,Procurement/Purchasing manager
75121,Baker
22110,General practitioner/physician
32551,Massage therapist
21712,Marine superintendent (engineer)
25140,Applications/Systems programmer
82139,Other quality checkers and testers
31329,Other incinerator and water treatment plant and related machine operators
33231,Buyer
71311,Building painter
26541,"Producer (stage, film, television, game, commercial, video and radio)"
25231,Cloud specialist
34331,Library officer
26352,Youth work professional
21342,Medical laboratory scientist
31161,Chemical engineering technician
21473,Marine engineer
12213,Regional sales manager
34341,Chef
21413,Automation engineer (including robotics engineer)
53115,Educarer
26112,"In-house legal counsel (except judiciary, ministries and statutory boards)"
25190,Software and applications developer and analyst n.e.c.
31142,Semi-conductor technician
33223,Marketing and sales executive (food & beverage services)
75122,Pastry and confectionery maker
72000,"Supervisor/General foreman (metal, machinery and related trades)"
26431,Translator
32130,Pharmacy technician
71000,Supervisor/General foreman (building and related trades)
14391,Event manager
42242,Hotel receptionist (including hotel reservation and front desk clerk)
21714,Marine superintendent
83224,Ambulance driver
31412,Clinical research coordinator
21239,"Other statistical, mathematical and actuarial professionals"
24334,Sales professionals (institutional sales of financial products)
72310,Automotive mechanic
21651,Land surveyor
22640,Physiotherapist
32111,Sonographer
31184,Architectural draughtsman
43115,Billing clerk
21498,Procurement engineer
83421,Excavating/Trench digging machine operator
25111,Systems designer/analyst
26414,Technical writer
25212,Database architect
34221,Sports coach
83322,Trailer-truck driver (including prime mover driver)
13420,Health services manager
72221,Tool and die maker
12132,Strategic planning manager
23612,Instructional designer and technologist
12194,Security manager
32120,Medical and pathology laboratory technician
83211,Motorcycle delivery man
53202,Nursing aide/assistant
25123,Multimedia (including games) developer
31152,Air-conditioning/Refrigeration engineering technician
33129,Other credit and loans officers
54141,Senior security supervisor
83311,Bus driver
14202,Wholesale trade manager
91000,Cleaning supervisor
26422,Editor (news and periodicals)
44110,Library clerk
33229,Other commercial and marketing sales executives
23101,University lecturer
71322,Motor vehicle spray painter
14324,Wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage)
72130,Sheet metal worker
43231,Shipping clerk
36206,Speech and drama instructor (extracurriculum)
31172,Production engineering technician
34323,Visual merchandiser
81821,Boiler fireman
25152,ICT auditor
25299,Database and network professionals n.e.c.
35212,Video camera operator
83424,Tunnelling machine operator (including pipe jacking machine operator)
21499,Other engineering professionals n.e.c.
51422,Manicurist
24134,Treasury manager
51201,Cook (e.g. commis cook 2/3)
22621,Pharmacist (patient care)
12221,Advertising/Public relations manager
22670,Optometrist
31594,Air cargo officer
51941,Pet groomer
21454,Food and drink technologist
21339,Other environmental protection and related professionals
33311,Clearing and forwarding agent
34223,Physical fitness instructor (including yoga instructor and aerobics instructor)
31174,Automation technician
21211,Mathematician
71261,Plumber
51502,House steward
31423,Farming technician (animal production)
24352,Oil and bunker trader
31711,Fire and safety inspector
21329,"Other farming, forestry and fishery advisers"
91151,Food and beverage establishments general cleaner
81841,Printing machine operator
21524,Audio and video equipment engineer
51313,Sommelier
21525,Instrumentation engineer
25220,"Network, servers and computer systems administrator"
33462,Maintenance planner
31122,Building technician
75110,"Butcher, fishmonger and related food preparer"
14110,Hotel operations/Lodging services manager
21662,Multimedia (including games) designer
83223,Van driver
31182,Electrical/Electronics draughtsman
72391,Machinery mechanic
21142,Geophysicist
26375,Career coach (counselling)
26421,Journalist
26310,Economist
13462,Insurance services manager
33211,Insurance sales agent/broker (including independent financial planner)
24332,Medical and pharmaceutical products sales professional
13210,Manufacturing manager
52202,Shop sales assistant
26351,Social worker (general)
22125,Medical oncologist
25245,Cybersecurity architect
33225,Merchandising/Category executive
32143,Dental technician
22129,"Other specialist medical practitioners (medical) (e.g. endocrinologist, geriatrician, haematologist, infectious diseases physician, neurologist, nuclear medicine physician, rehabilitation physician, renal physician, rheumatologist)"
52201,Sales supervisor
22301,Traditional Chinese medicine practitioner
32591,Paramedic
91152,Table-top cleaner
33151,Appraiser/Valuer (excluding intangible asset valuer)
94102,Food/Drink stall assistant
92142,Landscape worker
21497,Optical engineer (including laser engineer)
21711,Chief engineer/Second engineer (ship)
71331,Building maintenance worker
51412,Barber
83423,Pile driver/Drilling machine operator
24333,ICT sales and services professional
83324,Waste truck driver (including hooklift trucks with roll-on containers)
31291,Mechatronics technician
24133,Fund/Portfolio manager (including asset allocator)
26212,Curator
21622,Landscape designer
21493,Industrial safety engineer
23103,Teaching assistant/Tutor in university
33132,Audit associate professional
54123,Auxiliary police officer
31131,Electrical engineering technician
21632,Product and industrial designer
32540,Optician
22691,Chiropractor
21141,Geologist
75310,Tailor/Dressmaker
31213,Marine surveyor (ship and nautical)
31144,Instrumentation technician
31164,Food science technician
21512,Power generation and distribution engineer
31004,Assistant mechanical engineer
93335,Vehicle attendant
31006,Assistant manufacturing engineer
26322,Social science researcher
31183,Civil/Structural engineering draughtsman
21492,Materials engineer
21443,Air-conditioning/Refrigeration engineer
21621,Landscape architect
24312,Market research professional
71191,Scaffolder
31141,Electronics engineering technician
31173,Process engineering technician
43113,Audit clerk
36991,Relief teacher
26341,Clinical psychologist
51419,Other hair care workers (e.g. hair therapist/consultant)
31132,Lift technician
93337,Lashing worker
21349,Other pharmacologists and related professionals
33232,Purchasing agent
22612,Specialised dentist (e.g. orthodontist)
12215,Online sales channel manager
21120,Meteorologist
22611,General dental practitioner
22652,Nutritionist
24211,Management consultant
21343,Biochemist
12111,Budgeting and financial accounting manager (including financial controller)
35110,Computer systems operator
13301,Chief information officer/Chief technology officer/Chief security officer
21311,Biologist
22651,Dietitian
21346,Medical scientist
31111,Chemistry technician
21221,Statistician
74121,Electrical fitter
26221,Librarian
13303,"Network, communications and infrastructure manager"
71262,Pipe fitter
54142,Security supervisor
33493,Crewing executive (ship)
22500,Veterinarian
14122,Catering manager
13304,ICT service manager
